gene,eigenvalue,phi1,phi2,r2,root_type,half_life,eigenperiod
Elmsan1,0.597098,0.571036,0.015561,0.305905,Real,1.3442,NA
Emsy,0.488028,0.017959,-0.238171,0.056956,Complex,0.9662,4.0474
Emx2os,0.829195,0.231831,0.495331,0.327368,Real,3.7007,NA
Epgn,0.351083,-0.105433,-0.12326,0.023685,Complex,0.6622,3.6498
Epor,0.375149,0.481433,-0.039872,0.191405,Real,0.707,NA
F2,0.828377,0.533564,0.244217,0.456379,Real,3.6813,NA
Fam117b,0.544087,0.486268,0.031459,0.2332,Real,1.1388,NA
Fam184b,0.276783,0.24293,-0.076609,0.049015,Complex,0.5396,5.6277
Fam210a,0.883698,0.510986,0.329365,0.613424,Real,5.6062,NA
Fam89a,0.809837,0.527651,0.228525,0.518365,Real,3.2863,NA
Fastk,0.648769,0.454577,0.125986,0.283771,Real,1.602,NA
Fbrsl1,0.187421,0.006666,-0.035127,0.00069,Complex,0.414,4.0458
Fbxo43,0.873176,0.477661,0.345355,0.450475,Real,5.111,NA
Fer,0.303393,0.212434,0.027597,0.044635,Real,0.5811,NA
Fgf3,0.608935,0.218836,0.237545,0.109912,Real,1.3974,NA
Flrt3,0.417976,0.07436,0.143623,0.02697,Real,0.7946,NA
Fndc7,0.78766,0.579978,0.163583,0.397102,Real,2.904,NA
Folr2,0.325438,0.271262,0.017631,0.07759,Real,0.6175,NA
Fosl1,0.918263,0.361368,0.511375,0.448331,Real,8.1287,NA
Fscn2,0.907395,0.424456,0.438215,0.463826,Real,7.1328,NA
Fthl17a,0.811058,0.111545,0.567346,0.105872,Real,3.3099,NA
G730007D18Rik,0.33243,0.455761,-0.110509,0.178748,Complex,0.6294,7.7047
Gadd45a,0.528971,0.328113,0.106248,0.144194,Real,1.0884,NA
Glra2,0.882702,0.461193,0.372067,0.471807,Real,5.5555,NA
Glud1,0.857651,0.460875,0.340295,0.425253,Real,4.5139,NA
Gm10309,0.745928,0.661301,0.063125,0.213313,Real,2.3647,NA
Gm12159,0.852113,0.343653,0.433265,0.384997,Real,4.3312,NA
Gm17739,0.464934,0.352983,0.05205,0.1345,Real,0.9051,NA
Gm20213,0.618138,0.320803,0.183795,0.107918,Real,1.4409,NA
Gm32633,0.281331,0.095587,-0.079147,0.013538,Complex,0.5465,4.4877
Gm3916,0.876202,0.346451,0.464169,0.442475,Real,5.2448,NA
Gm6225,0.834168,0.515821,0.265554,0.402291,Real,3.8228,NA
Gm9817,0.656193,0.283004,0.244884,0.170778,Real,1.6453,NA
Gnaq,0.742612,0.5183,0.166577,0.372211,Real,2.3293,NA
Golga3,0.704283,0.471542,0.163915,0.322811,Real,1.9772,NA
Gp2,0.17241,-0.03006,-0.029725,0.001685,Complex,0.3943,3.7894
Gps1,0.577825,0.229987,0.200989,0.114651,Real,1.2637,NA
Gsto2,0.88214,0.503384,0.334116,0.500037,Real,5.5273,NA
Gstt3,0.483036,0.225015,0.124634,0.078168,Real,0.9526,NA
Guca1a,0.267393,0.163602,-0.071499,0.027471,Complex,0.5255,4.9871
Heatr3,0.397585,0.374998,0.00898,0.143265,Real,0.7515,NA
Hook3,0.615855,0.465588,0.092543,0.277392,Real,1.4299,NA
Hspb6,0.756078,0.34058,0.314149,0.249714,Real,2.479,NA
Ifitm1,0.749536,0.466579,0.212086,0.430497,Real,2.4042,NA
Ifna11,0.87557,0.383453,0.430884,0.404934,Real,5.2164,NA
Igkv5-39,0.448117,0.418884,-0.200809,0.155165,Complex,0.8635,5.7938
Igsf10,0.880221,0.437073,0.390068,0.469824,Real,5.4329,NA
Il2rg,0.35048,0.428314,-0.122836,0.160759,Complex,0.6611,6.8787
Il4ra,0.35615,0.323425,0.011655,0.107419,Real,0.6714,NA
Inpp5j,0.788725,0.407515,0.30067,0.261988,Real,2.9205,NA
Itgb8,0.637023,0.394529,0.154475,0.212279,Real,1.5371,NA
Itih4,0.723938,0.583364,0.101766,0.378938,Real,2.1456,NA
Katnb1,0.105139,-0.164289,-0.006219,0.022218,Real,0.3077,NA
Kcnn2,0.796409,0.553551,0.193415,0.44547,Real,3.0449,NA
Kcnq2,0.775918,0.409256,0.284499,0.348026,Real,2.7321,NA
Kcnv1,0.906961,0.646192,0.236508,0.470481,Real,7.0979,NA
Kctd9,0.484066,0.265447,0.105826,0.096749,Real,0.9554,NA
Kdelr1,0.357669,0.626909,-0.127927,0.323135,Complex,0.6742,12.5039
Lama3,0.53788,0.08117,0.245655,0.071302,Real,1.1178,NA
Leap2,0.655792,0.848429,-0.12633,0.551891,Real,1.6429,NA
Lin7b,0.581653,0.105795,0.276784,0.0864,Real,1.2791,NA
Lipn,0.92179,0.366556,0.51181,0.476276,Real,8.5114,NA
Lncenc1,0.491157,0.267348,0.109925,0.096323,Real,0.9749,NA
LOC102634683,0.171316,0.118643,-0.029349,0.013228,Complex,0.3929,5.162
LOC552911,0.887716,0.324656,0.499838,0.448037,Real,5.8197,NA
Lrp2,0.429322,0.200262,0.09834,0.048941,Real,0.8198,NA
Lrrc4b,0.191913,-0.097983,-0.036831,0.007824,Complex,0.4199,3.4354
Map6d1,0.880427,0.418736,0.406485,0.386405,Real,5.4429,NA
Mapk8ip2,0.765109,0.422703,0.261978,0.257584,Real,2.5889,NA
Marc2,0.54416,0.449876,0.051305,0.229426,Real,1.1391,NA
March11,0.405277,-0.154262,-0.164249,0.040775,Complex,0.7674,3.5654
Mb21d1,0.389398,0.226539,0.063417,0.060384,Real,0.7349,NA
Mertk,0.270179,0.365969,-0.072997,0.117935,Complex,0.5297,7.5999
Met,0.598045,0.905045,-0.1836,0.592655,Real,1.3483,NA
Mob3a,0.274189,-0.061995,-0.075179,0.008713,Complex,0.5357,3.7309
Mpnd,0.57578,0.172169,0.232391,0.099595,Real,1.2556,NA
Mrpl9,0.609587,0.407145,0.123406,0.219546,Real,1.4004,NA
Ms4a7,0.5456,0.153135,0.214129,0.081253,Real,1.1441,NA
Mug1,0.401247,0.443146,-0.160999,0.169379,Complex,0.759,6.3738
Mybpc3,0.543118,0.104781,0.238068,0.07299,Real,1.1355,NA
Myc,0.435605,0.226574,0.091055,0.069296,Real,0.8341,NA
Myl10,1.00171,1.025581,-0.023912,0.042613,Real,NA,NA
Naaladl1,0.128413,0.146519,-0.01649,0.018622,Complex,0.3377,6.52
Neil3,0.467957,0.428876,0.018288,0.189449,Real,0.9128,NA
Nkpd1,0.872509,0.403987,0.40879,0.443134,Real,5.0824,NA
Nod1,0.752098,0.416911,0.252094,0.317904,Real,2.4331,NA
Nphp1,0.644589,0.260026,0.247885,0.18198,Real,1.5784,NA
Npvf,0.487936,0.217098,0.132151,0.072597,Real,0.966,NA
Nup155,0.517,-0.08005,0.225903,0.061164,Real,1.0507,NA
